;-------------------------------------------------------------------------------
; debug registers
;-------------------------------------------------------------------------------
MEM_DEBUG_1,2,general debug register
MEM_DEBUG_2,2,general debug register
;-------------------------------------------------------------------------------
; table to sort the draw order of sprites
;-------------------------------------------------------------------------------
MEM_SPRITE_SORT_TABLE_SORTED,2,0000=sorted
MEM_SPRITE_SORT_TABLE_ID0,2,sort table ID 0
MEM_SPRITE_SORT_TABLE_VALUE0,2,sort table value 0
MEM_SPRITE_SORT_TABLE_ID1,2,sort table ID 1
MEM_SPRITE_SORT_TABLE_VALUE1,2,sort table value 1
MEM_SPRITE_SORT_TABLE_ID2,2,sort table ID 2
MEM_SPRITE_SORT_TABLE_VALUE2,2,sort table value 2
MEM_SPRITE_SORT_TABLE_ID3,2,sort table ID 3
MEM_SPRITE_SORT_TABLE_VALUE3,2,sort table value 3
MEM_SPRITE_SORT_TABLE_ID4,2,sort table ID 4
MEM_SPRITE_SORT_TABLE_VALUE4,2,sort table value 4
;-------------------------------------------------------------------------------
; counters
;-------------------------------------------------------------------------------
MEM_VBLANK_COUNTER,2,incremented at vblank - used for debug & RNG
MEM_MAINLOOP_COUNTER,2,used for debug & RNG
MEM_FRAME_COUNTER,2,current frame
;-------------------------------------------------------------------------------
; program flow
;-------------------------------------------------------------------------------
MEM_NPC_LOOP_COUNTER,2,used for loop control in main
;-------------------------------------------------------------------------------
; controller input
;-------------------------------------------------------------------------------
MEM_CONTROL_HELD,2,store value of a held button
MEM_CONTROL_PRESSED,2,store value of a pressed button
;-------------------------------------------------------------------------------
; game state
;-------------------------------------------------------------------------------
; MEM_OBJECTIVE is first because it's used for save game title 
MEM_OBJECTIVE,2,which text to show on objectives
MEM_GAME_STATE,4,used to control the main loop flow
MEM_ACTION_ID,2,current action selected by player
MEM_ACTION_TARGET_OBJID,2,action target object id
MEM_ACTION_TARGET_NPCID,2,NPC id if action target is an NPC
MEM_ACTION_TARGET_NPC_DIRECTION,2,put NPC back in right direction
MEM_ACTION_TABLE_OFFSET,2,relative address of action table entry
MEM_ACTIVE_ITEM,2,item that is currently being used
MEM_NPC_LOCATIONS,96,table to track where NPCs are located
MEM_INTRO_SCENE_COUNTER,2,counter for displaying the intro screen
MEM_DAY,2,what day is it in the story
MEM_PLAYER_SPRITE,2,which sprite to use for the player
MEM_GLOBAL_EVENT_FLAGS,4,track events across days
MEM_DAY_EVENT_FLAGS,4,track events in the current day
MEM_MISSION_EVENT_FLAGS,4,track events in the current mission
